epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1.71786E+12,2024-06-08T18.04.31.701,2.812,-34.451,-6.463,32.683
1.71786E+12,2024-06-08T18.04.31.712,2.823,-29.878,-4.939,24.451
1.71786E+12,2024-06-08T18.04.31.722,2.833,-25.915,-4.024,18.049
1.71786E+12,2024-06-08T18.04.31.731,2.842,-20.793,-3.659,12.927
1.71786E+12,2024-06-08T18.04.31.741,2.852,-14.573,-3.171,8.171
1.71786E+12,2024-06-08T18.04.31.751,2.862,-8.78,-2.866,3.537
1.71786E+12,2024-06-08T18.04.31.761,2.872,-4.146,-1.037,-0.793
1.71786E+12,2024-06-08T18.04.31.770,2.881,-0.549,1.28,-5.427
1.71786E+12,2024-06-08T18.04.31.780,2.891,3.659,4.085,-10.183
1.71786E+12,2024-06-08T18.04.31.791,2.902,8.049,7.622,-14.756
1.71786E+12,2024-06-08T18.04.31.801,2.912,11.707,10.671,-18.598
1.71786E+12,2024-06-08T18.04.31.810,2.921,14.878,12.744,-22.073
1.71786E+12,2024-06-08T18.04.31.820,2.931,17.927,14.268,-25.244
1.71786E+12,2024-06-08T18.04.31.830,2.941,20.244,15.122,-28.11
1.71786E+12,2024-06-08T18.04.31.841,2.952,21.951,15.915,-31.159
1.71786E+12,2024-06-08T18.04.31.849,2.96,24.085,16.829,-34.817
1.71786E+12,2024-06-08T18.04.31.860,2.971,26.768,18.78,-38.841
1.71786E+12,2024-06-08T18.04.31.870,2.981,30.244,21.28,-42.805
1.71786E+12,2024-06-08T18.04.31.879,2.99,34.878,25.183,-47.683
1.71786E+12,2024-06-08T18.04.31.889,3,40.366,29.512,-53.72
1.71786E+12,2024-06-08T18.04.31.899,3.01,45.183,35.305,-60.122
1.71786E+12,2024-06-08T18.04.31.909,3.02,49.024,41.463,-66.585
1.71786E+12,2024-06-08T18.04.31.918,3.029,53.841,45.244,-71.646
1.71786E+12,2024-06-08T18.04.31.930,3.041,60.976,49.024,-77.195
