epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1715008588131,2024-05-06T18.16.28.131,1.925,-64.741,101.482,124.874
1715008588141,2024-05-06T18.16.28.141,1.935,-55.019,56.810,118.693
1715008588151,2024-05-06T18.16.28.151,1.945,-12.934,-12.569,122.931
1715008588160,2024-05-06T18.16.28.160,1.954,-15.716,-66.482,124.874
1715008588170,2024-05-06T18.16.28.170,1.964,-17.005,-120.213,124.817
1715008588181,2024-05-06T18.16.28.181,1.975,-30.286,-124.874,124.817
1715008588189,2024-05-06T18.16.28.189,1.983,-15.728,-77.450,124.874
1715008588200,2024-05-06T18.16.28.200,1.994,-9.188,-34.771,124.874
1715008588210,2024-05-06T18.16.28.210,2.004,-13.944,-47.645,124.874
1715008588220,2024-05-06T18.16.28.220,2.014,-12.058,-86.452,124.874
1715008588229,2024-05-06T18.16.28.229,2.023,-18.643,-124.874,124.874
1715008588239,2024-05-06T18.16.28.239,2.033,-67.287,-124.874,60.732
1715008588249,2024-05-06T18.16.28.249,2.043,-34.512,-124.204,36.395
1715008588258,2024-05-06T18.16.28.258,2.052,17.248,-124.832,78.613
1715008588268,2024-05-06T18.16.28.268,2.062,49.585,-124.874,-48.476
1715008588279,2024-05-06T18.16.28.279,2.073,65.442,-124.867,-124.874
1715008588289,2024-05-06T18.16.28.289,2.083,82.873,-124.874,-124.874
1715008588298,2024-05-06T18.16.28.298,2.092,112.210,-124.874,-123.167
1715008588308,2024-05-06T18.16.28.308,2.102,99.234,-124.874,-124.874
1715008588318,2024-05-06T18.16.28.318,2.112,67.637,-124.874,-124.874
1715008588329,2024-05-06T18.16.28.329,2.123,38.921,-124.874,-124.844
1715008588337,2024-05-06T18.16.28.337,2.131,21.517,-124.874,-124.874
1715008588348,2024-05-06T18.16.28.348,2.142,-3.072,-124.874,-124.874
1715008588358,2024-05-06T18.16.28.358,2.152,-124.874,-119.444,-124.459
1715008588368,2024-05-06T18.16.28.368,2.162,-124.051,-27.409,-124.264
1715008588377,2024-05-06T18.16.28.377,2.171,-48.723,-36.250,-124.874
1715008588387,2024-05-06T18.16.28.387,2.181,-17.222,-120.351,-110.423
1715008588397,2024-05-06T18.16.28.397,2.191,-22.321,-88.201,-38.117
1715008588408,2024-05-06T18.16.28.408,2.202,-24.272,-27.763,22.793
1715008588416,2024-05-06T18.16.28.416,2.210,-38.834,-20.915,72.851
1715008588427,2024-05-06T18.16.28.427,2.221,-31.742,20.530,69.642
1715008588437,2024-05-06T18.16.28.437,2.231,-10.088,54.402,52.801
1715008588447,2024-05-06T18.16.28.447,2.241,2.561,75.659,67.557
1715008588456,2024-05-06T18.16.28.456,2.250,18.895,87.344,118.316
1715008588466,2024-05-06T18.16.28.466,2.260,41.986,79.078,124.874
1715008588476,2024-05-06T18.16.28.476,2.270,68.666,61.090,123.411
1715008588485,2024-05-06T18.16.28.485,2.279,89.867,45.393,116.502
1715008588496,2024-05-06T18.16.28.496,2.290,105.191,27.367,124.333
1715008588506,2024-05-06T18.16.28.506,2.300,95.076,17.603,124.874
1715008588516,2024-05-06T18.16.28.516,2.310,68.548,24.257,124.741
1715008588525,2024-05-06T18.16.28.525,2.319,52.553,21.745,124.848
1715008588535,2024-05-06T18.16.28.535,2.329,37.973,23.929,124.874
1715008588545,2024-05-06T18.16.28.545,2.339,10.918,21.905,124.874
1715008588556,2024-05-06T18.16.28.556,2.350,-17.828,-9.703,124.874
1715008588564,2024-05-06T18.16.28.564,2.358,-11.155,-35.412,124.874
1715008588575,2024-05-06T18.16.28.575,2.369,23.300,-37.370,124.874
1715008588585,2024-05-06T18.16.28.585,2.379,38.773,-57.367,124.874
1715008588595,2024-05-06T18.16.28.595,2.389,-83.060,-95.011,42.382
1715008588604,2024-05-06T18.16.28.604,2.398,-114.303,-52.603,-124.874
1715008588614,2024-05-06T18.16.28.614,2.408,-81.319,-87.077,-124.874
1715008588624,2024-05-06T18.16.28.624,2.418,-51.193,-73.190,-121.338
1715008588635,2024-05-06T18.16.28.635,2.429,-34.729,-19.245,-124.874
1715008588643,2024-05-06T18.16.28.643,2.437,-45.556,-17.824,-124.874
1715008588654,2024-05-06T18.16.28.654,2.448,-62.218,-72.329,-124.813
1715008588664,2024-05-06T18.16.28.664,2.458,-90.644,-124.874,-124.870
1715008588673,2024-05-06T18.16.28.673,2.467,-111.292,-124.874,-124.874
1715008588683,2024-05-06T18.16.28.683,2.477,-124.874,-119.162,-124.874
1715008588693,2024-05-06T18.16.28.693,2.487,-122.401,-90.995,-124.874
1715008588704,2024-05-06T18.16.28.704,2.498,-48.518,-53.620,-124.874
1715008588712,2024-05-06T18.16.28.712,2.506,17.511,-26.033,-46.303
1715008588723,2024-05-06T18.16.28.723,2.517,51.322,13.861,124.874
1715008588733,2024-05-06T18.16.28.733,2.527,71.132,61.155,124.874
1715008588743,2024-05-06T18.16.28.743,2.537,87.984,85.968,121.848
1715008588752,2024-05-06T18.16.28.752,2.546,108.975,23.685,124.630
1715008588762,2024-05-06T18.16.28.762,2.556,124.874,-44.108,124.874
1715008588772,2024-05-06T18.16.28.772,2.566,124.874,-29.398,124.829
1715008588783,2024-05-06T18.16.28.783,2.577,93.933,9.870,124.867
1715008588791,2024-05-06T18.16.28.791,2.585,76.216,51.601,124.874
1715008588802,2024-05-06T18.16.28.802,2.596,93.392,95.591,124.874
1715008588812,2024-05-06T18.16.28.812,2.606,71.242,68.960,124.874
1715008588822,2024-05-06T18.16.28.822,2.616,-1.955,-46.608,124.874
1715008588831,2024-05-06T18.16.28.831,2.625,-102.317,-124.874,124.874
1715008588841,2024-05-06T18.16.28.841,2.635,-124.874,-124.874,61.204
1715008588851,2024-05-06T18.16.28.851,2.645,-72.313,-68.921,-15.827
1715008588862,2024-05-06T18.16.28.862,2.656,-8.796,7.637,27.694
1715008588871,2024-05-06T18.16.28.871,2.665,-3.438,65.412,37.153
1715008588881,2024-05-06T18.16.28.881,2.675,9.181,105.873,-81.799
1715008588891,2024-05-06T18.16.28.891,2.685,-19.585,91.208,-124.874
1715008588901,2024-05-06T18.16.28.901,2.695,-109.783,38.902,-124.821
1715008588910,2024-05-06T18.16.28.910,2.704,-124.874,14.649,-123.678
1715008588920,2024-05-06T18.16.28.920,2.714,-124.127,3.460,-124.874
1715008588931,2024-05-06T18.16.28.931,2.725,-124.371,-66.376,-124.646
1715008588939,2024-05-06T18.16.28.939,2.733,-124.874,-74.127,-113.479
1715008588950,2024-05-06T18.16.28.950,2.744,-124.874,-83.800,-123.670
1715008588960,2024-05-06T18.16.28.960,2.754,-100.225,-50.446,-124.874
1715008588970,2024-05-06T18.16.28.970,2.764,0.518,-27.027,-55.351
1715008588979,2024-05-06T18.16.28.979,2.773,71.010,61.315,94.573
1715008588989,2024-05-06T18.16.28.989,2.783,115.171,124.874,124.874
1715008588999,2024-05-06T18.16.28.999,2.793,124.874,124.874,124.451
1715008589010,2024-05-06T18.16.29.010,2.804,124.874,96.273,123.986
1715008589018,2024-05-06T18.16.29.018,2.812,124.699,23.270,124.874
1715008589029,2024-05-06T18.16.29.029,2.823,124.874,-35.499,124.874
1715008589039,2024-05-06T18.16.29.039,2.833,105.252,-29.985,124.855
1715008589049,2024-05-06T18.16.29.049,2.843,37.584,32.725,124.874
1715008589058,2024-05-06T18.16.29.058,2.852,29.897,82.386,124.874
1715008589068,2024-05-06T18.16.29.068,2.862,55.960,77.839,124.874
1715008589079,2024-05-06T18.16.29.079,2.873,47.511,56.273,124.874
1715008589089,2024-05-06T18.16.29.089,2.883,36.456,34.623,124.874
1715008589098,2024-05-06T18.16.29.098,2.892,76.368,50.697,124.874
1715008589108,2024-05-06T18.16.29.108,2.902,110.675,73.384,124.874
1715008589118,2024-05-06T18.16.29.118,2.912,70.351,68.906,124.874
1715008589127,2024-05-06T18.16.29.127,2.921,-6.227,57.950,124.874
1715008589137,2024-05-06T18.16.29.137,2.931,-45.377,55.034,70.690
1715008589147,2024-05-06T18.16.29.147,2.941,-75.800,38.674,-89.768
1715008589158,2024-05-06T18.16.29.158,2.952,-80.938,26.399,-124.874
1715008589166,2024-05-06T18.16.29.166,2.960,-78.197,12.523,-123.914
