x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
-0.212,0.417,-0.31,12.134,109.207,66.524
-0.138,0.537,-0.322,11.646,110.732,64.39
-0.192,0.557,-0.308,8.78,97.683,65.183
-0.239,0.609,-0.272,1.585,79.878,66.829
-0.171,0.629,-0.206,-6.22,66.585,64.939
-0.14,0.514,-0.181,-11.89,62.744,64.085
-0.119,0.463,-0.22,-15.366,65.854,64.573
-0.065,0.537,-0.255,-19.695,74.695,63.537
-0.034,0.656,-0.316,-21.159,82.5,64.146
-0.062,0.835,-0.309,-28.171,85.976,62.744
-0.047,0.851,-0.216,-35.488,87.073,58.049
-0.037,0.751,-0.156,-40.549,84.024,51.402
-0.045,0.671,-0.087,-46.646,76.829,43.049
0.087,0.609,-0.002,-49.878,73.659,34.146
0.167,0.659,-0.067,-47.744,71.402,31.463
0.065,0.948,-0.174,-52.866,64.268,31.646
0.039,1.138,-0.165,-64.329,57.988,24.695
0.072,1.034,-0.062,-75.915,65.793,16.037
0.131,0.867,0.013,-81.463,84.939,11.402
0.153,0.833,0.052,-84.634,98.11,4.939
0.185,0.812,0.139,-83.537,99.329,-3.841
0.319,0.86,0.229,-76.585,88.476,-14.146
0.208,1.068,0.238,-75.671,58.841,-25.183
0.042,1.299,0.238,-84.573,28.049,-32.378
0.089,1.402,0.245,-91.585,22.073,-36.585
0.196,1.347,0.291,-92.195,47.5,-40.061
0.3,1.241,0.33,-88.78,88.293,-43.537
0.319,1.189,0.328,-84.878,114.878,-44.451
0.22,1.199,0.346,-83.171,115.061,-46.402
0.277,1.249,0.434,-78.232,93.049,-50.61
0.327,1.337,0.526,-73.537,52.988,-54.573
0.179,1.499,0.552,-77.622,8.963,-57.256
0.186,1.579,0.546,-81.646,-12.5,-62.561
0.323,1.528,0.491,-80.305,-4.756,-68.476
0.353,1.458,0.395,-77.805,21.646,-71.829
0.339,1.393,0.322,-73.902,55.549,-74.451
0.295,1.368,0.33,-67.439,85.732,-77.622
0.209,1.4,0.361,-58.11,100.0,-81.098
0.122,1.437,0.394,-49.512,95.854,-80.366
0.048,1.475,0.44,-45.122,78.659,-73.841
0.007,1.517,0.483,-44.695,55.976,-66.159
-0.046,1.5,0.481,-46.341,34.207,-58.293
-0.036,1.462,0.445,-47.988,19.207,-51.159
0.051,1.427,0.399,-46.829,7.744,-46.951
0.079,1.384,0.357,-44.939,-1.89,-42.744
0.083,1.331,0.343,-42.317,-8.537,-38.963
0.056,1.293,0.362,-40.183,-7.439,-34.39
0.092,1.289,0.389,-36.89,4.146,-30.061
0.132,1.292,0.389,-30.366,22.134,-27.561
0.092,1.279,0.371,-23.11,38.049,-25.183
0.011,1.285,0.367,-18.72,43.963,-22.988
-0.028,1.289,0.377,-15.244,36.28,-21.707
-0.072,1.243,0.417,-12.134,18.902,-18.537
-0.136,1.218,0.452,-11.768,-0.915,-14.146
-0.127,1.208,0.437,-11.341,-15.732,-10.183
-0.102,1.172,0.388,-9.878,-23.293,-4.817
-0.11,1.122,0.336,-8.232,-22.805,0.793
-0.104,1.088,0.306,-5.671,-15.732,4.207
-0.111,1.052,0.305,-1.89,-5.793,6.829
-0.132,1.025,0.332,1.524,2.744,7.866
-0.123,1.01,0.352,4.146,5.488,7.805
-0.138,0.996,0.349,4.817,-0.183,7.927
-0.166,0.987,0.337,4.024,-10.0,7.927
-0.154,0.971,0.322,3.11,-16.89,8.902
-0.11,0.946,0.286,3.354,-18.293,11.402
-0.107,0.924,0.246,3.963,-16.402,13.72
-0.134,0.902,0.233,3.354,-11.585,14.634
-0.101,0.888,0.235,3.72,-4.268,13.963
-0.058,0.877,0.232,4.756,0.793,13.171
-0.082,0.869,0.231,4.085,0.427,12.866
-0.112,0.871,0.242,2.195,-3.963,11.463
-0.094,0.869,0.25,1.159,-8.963,9.207
-0.078,0.865,0.256,0.366,-12.744,8.476
-0.089,0.863,0.256,-0.732,-13.659,7.561
-0.088,0.866,0.25,-1.037,-11.951,4.634
-0.08,0.868,0.235,-1.098,-9.695,1.22
-0.068,0.875,0.222,-0.976,-7.622,-1.341
-0.052,0.885,0.222,-0.915,-6.159,-3.415
-0.062,0.889,0.228,-1.524,-3.476,-4.39
-0.048,0.904,0.227,-1.585,0.366,-5.671
-0.042,0.915,0.204,-0.976,2.988,-6.646
-0.073,0.929,0.191,-1.098,4.146,-6.585
-0.084,0.96,0.204,-1.646,4.024,-7.622
-0.073,0.989,0.211,-2.195,2.683,-8.415
-0.066,1.032,0.229,-2.866,0.915,-7.744
-0.064,1.114,0.244,-3.902,-0.305,-6.707
-0.014,1.215,0.255,-3.841,-2.134,-5.732
-0.006,1.294,0.272,-1.951,-6.524,-3.78
-0.017,1.39,0.33,2.134,-12.805,0.0
0.014,1.507,0.419,9.451,-19.695,4.451
0.034,1.621,0.525,18.598,-26.22,9.878
0.029,1.725,0.615,28.963,-34.39,15.305
0.04,1.811,0.7,41.463,-42.378,22.134
