x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
-0.555,-0.816,0.184,2.012,-3.415,-2.683
-0.559,-0.815,0.185,2.073,-3.232,-2.622
-0.556,-0.817,0.183,2.317,-2.927,-2.134
-0.556,-0.818,0.183,2.561,-2.256,-1.341
-0.556,-0.817,0.184,2.439,-1.341,-0.732
-0.555,-0.811,0.183,2.378,-0.244,0.061
-0.551,-0.81,0.18,2.378,0.854,0.793
-0.548,-0.809,0.179,2.317,1.585,1.402
-0.548,-0.808,0.179,2.073,1.707,1.829
-0.548,-0.804,0.18,1.707,1.402,2.256
-0.548,-0.8,0.182,1.159,0.488,2.073
-0.546,-0.799,0.176,0.366,-0.732,1.463
-0.548,-0.799,0.179,-0.305,-2.134,1.037
-0.544,-0.801,0.18,-0.854,-3.293,0.915
-0.541,-0.8,0.18,-1.28,-3.963,0.671
-0.536,-0.8,0.187,-1.524,-4.085,0.183
-0.532,-0.8,0.189,-1.646,-3.476,-0.122
-0.526,-0.797,0.192,-1.768,-2.256,-0.122
-0.524,-0.798,0.199,-1.768,-1.402,-0.183
-0.524,-0.804,0.199,-1.585,-1.341,-0.427
-0.535,-0.806,0.199,-1.463,-1.768,-0.305
-0.539,-0.81,0.204,-1.524,-2.073,-0.061
-0.539,-0.812,0.202,-1.585,-2.134,0.183
-0.54,-0.814,0.204,-1.524,-2.5,0.061
-0.546,-0.817,0.204,-1.159,-3.11,0.366
-0.548,-0.818,0.205,-0.915,-3.293,0.976
-0.543,-0.822,0.203,-0.488,-3.293,1.341
-0.543,-0.822,0.201,0.183,-3.232,1.646
-0.541,-0.824,0.2,0.549,-2.622,2.073
-0.534,-0.825,0.201,0.793,-1.829,2.012
-0.529,-0.827,0.204,1.22,-1.646,1.768
-0.526,-0.829,0.204,1.524,-1.463,1.707
-0.523,-0.827,0.205,1.707,-0.488,1.524
-0.517,-0.823,0.203,1.89,0.549,1.159
-0.512,-0.82,0.202,1.951,1.463,0.732
-0.514,-0.817,0.208,2.012,1.585,0.732
-0.52,-0.815,0.208,1.89,1.098,0.488
-0.521,-0.81,0.205,1.707,0.244,0.305
-0.52,-0.804,0.204,1.159,-0.61,0.061
-0.522,-0.8,0.201,0.366,-1.22,-0.671
-0.518,-0.806,0.201,0.061,-1.768,-1.098
-0.512,-0.814,0.207,0.0,-1.951,-1.22
-0.511,-0.812,0.207,-0.183,-1.89,-1.768
-0.513,-0.806,0.207,-0.183,-1.707,-2.5
-0.513,-0.802,0.206,-0.061,-1.28,-2.866
-0.513,-0.801,0.208,0.0,-0.732,-3.049
-0.512,-0.801,0.213,-0.183,-0.244,-3.293
-0.516,-0.797,0.212,-0.427,-0.488,-3.415
-0.524,-0.799,0.208,-0.122,-1.341,-3.598
-0.535,-0.803,0.209,0.244,-1.829,-3.598
-0.536,-0.811,0.207,0.793,-1.463,-3.171
-0.537,-0.815,0.208,1.28,-0.549,-2.988
-0.537,-0.814,0.212,1.524,0.549,-2.378
-0.536,-0.817,0.213,1.768,2.012,-1.585
-0.537,-0.819,0.213,1.951,3.171,-0.976
-0.542,-0.824,0.217,2.134,3.598,-0.366
-0.548,-0.833,0.222,2.805,3.537,0.61
-0.549,-0.85,0.23,4.085,3.415,1.463
-0.543,-0.865,0.237,5.732,3.78,1.646
-0.534,-0.866,0.238,7.073,4.573,1.707
-0.523,-0.855,0.248,7.378,5.366,1.463
-0.51,-0.841,0.255,7.195,5.854,1.22
-0.498,-0.838,0.264,7.378,5.244,0.732
-0.5,-0.836,0.269,7.378,2.622,-0.427
-0.498,-0.829,0.276,6.524,-1.22,-1.585
-0.503,-0.823,0.303,5.854,-6.341,-2.5
-0.506,-0.833,0.329,5.793,-11.646,-3.232
