epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1718718426269,2024-06-18T16.47.06.269,2.715,-90.366,72.256,40.366
1718718426280,2024-06-18T16.47.06.280,2.726,-93.841,70.976,41.220
1718718426288,2024-06-18T16.47.06.288,2.734,-94.756,73.841,42.439
1718718426299,2024-06-18T16.47.06.299,2.745,-95.854,82.927,42.622
1718718426309,2024-06-18T16.47.06.309,2.755,-98.293,97.622,43.049
1718718426319,2024-06-18T16.47.06.319,2.765,-102.988,112.134,43.293
1718718426328,2024-06-18T16.47.06.328,2.774,-110.610,116.951,44.939
1718718426338,2024-06-18T16.47.06.338,2.784,-117.012,111.280,47.256
1718718426348,2024-06-18T16.47.06.348,2.794,-121.037,101.707,43.049
1718718426357,2024-06-18T16.47.06.357,2.803,-125.793,91.159,38.902
1718718426367,2024-06-18T16.47.06.367,2.813,-124.695,89.451,40.000
1718718426378,2024-06-18T16.47.06.378,2.824,-125.915,99.207,41.159
1718718426388,2024-06-18T16.47.06.388,2.834,-132.439,114.329,39.817
1718718426397,2024-06-18T16.47.06.397,2.843,-142.439,120.854,38.293
1718718426407,2024-06-18T16.47.06.407,2.853,-145.610,115.854,38.780
1718718426417,2024-06-18T16.47.06.417,2.863,-143.902,104.085,37.195
1718718426428,2024-06-18T16.47.06.428,2.874,-142.927,93.841,34.329
1718718426436,2024-06-18T16.47.06.436,2.882,-144.451,92.317,32.500
1718718426447,2024-06-18T16.47.06.447,2.893,-146.829,100.122,31.402
1718718426457,2024-06-18T16.47.06.457,2.903,-150.244,108.659,30.915
1718718426467,2024-06-18T16.47.06.467,2.913,-153.963,111.037,32.256
1718718426476,2024-06-18T16.47.06.476,2.922,-158.720,104.146,34.390
1718718426486,2024-06-18T16.47.06.486,2.932,-164.024,88.902,35.061
1718718426496,2024-06-18T16.47.06.496,2.942,-170.488,69.085,35.488
1718718426507,2024-06-18T16.47.06.507,2.953,-174.695,51.585,35.488
1718718426515,2024-06-18T16.47.06.515,2.961,-174.146,41.951,36.341
1718718426526,2024-06-18T16.47.06.526,2.972,-168.841,42.134,38.720
1718718426536,2024-06-18T16.47.06.536,2.982,-162.561,52.683,40.732
1718718426546,2024-06-18T16.47.06.546,2.992,-159.817,66.890,41.585
1718718426555,2024-06-18T16.47.06.555,3.001,-157.561,76.220,40.244
1718718426565,2024-06-18T16.47.06.565,3.011,-154.329,76.463,37.866
1718718426576,2024-06-18T16.47.06.576,3.022,-149.939,68.780,36.098
1718718426584,2024-06-18T16.47.06.584,3.030,-145.427,59.573,36.524
1718718426595,2024-06-18T16.47.06.595,3.041,-144.390,54.268,38.232
1718718426605,2024-06-18T16.47.06.605,3.051,-147.378,51.829,38.537
1718718426615,2024-06-18T16.47.06.615,3.061,-152.805,45.976,37.866
1718718426624,2024-06-18T16.47.06.624,3.070,-154.695,34.512,36.463
1718718426634,2024-06-18T16.47.06.634,3.080,-152.073,20.183,33.049
1718718426644,2024-06-18T16.47.06.644,3.090,-145.427,6.585,29.512
1718718426655,2024-06-18T16.47.06.655,3.101,-134.695,1.280,28.720
1718718426663,2024-06-18T16.47.06.663,3.109,-124.939,7.988,27.927
1718718426674,2024-06-18T16.47.06.674,3.120,-118.963,23.902,25.610
1718718426684,2024-06-18T16.47.06.684,3.130,-114.390,39.146,23.902
1718718426694,2024-06-18T16.47.06.694,3.140,-110.427,45.915,22.195
1718718426703,2024-06-18T16.47.06.703,3.149,-106.951,41.951,20.732
1718718426713,2024-06-18T16.47.06.713,3.159,-100.671,27.622,20.183
1718718426723,2024-06-18T16.47.06.723,3.169,-91.585,10.976,21.524
1718718426734,2024-06-18T16.47.06.734,3.180,-86.951,0.915,22.561
1718718426742,2024-06-18T16.47.06.742,3.188,-86.159,-0.366,21.768
1718718426753,2024-06-18T16.47.06.753,3.199,-82.805,4.207,20.549
1718718426763,2024-06-18T16.47.06.763,3.209,-76.098,9.085,21.098
1718718426773,2024-06-18T16.47.06.773,3.219,-67.561,11.524,23.110
1718718426782,2024-06-18T16.47.06.782,3.228,-59.573,12.744,25.244
1718718426792,2024-06-18T16.47.06.792,3.238,-54.756,13.780,25.671
1718718426803,2024-06-18T16.47.06.803,3.249,-52.500,14.390,24.573
1718718426813,2024-06-18T16.47.06.813,3.259,-49.024,12.500,23.659
1718718426822,2024-06-18T16.47.06.822,3.268,-44.817,9.573,23.110
1718718426832,2024-06-18T16.47.06.832,3.278,-41.768,7.195,23.232
1718718426842,2024-06-18T16.47.06.842,3.288,-39.878,6.890,22.378
1718718426851,2024-06-18T16.47.06.851,3.297,-37.256,8.537,21.037
1718718426861,2024-06-18T16.47.06.861,3.307,-32.927,11.280,20.854
1718718426871,2024-06-18T16.47.06.871,3.317,-27.317,15.671,21.524
1718718426882,2024-06-18T16.47.06.882,3.328,-19.756,26.707,24.939
1718718426890,2024-06-18T16.47.06.890,3.336,-10.305,49.512,9.695
1718718426901,2024-06-18T16.47.06.901,3.347,1.037,82.805,-17.866
1718718426911,2024-06-18T16.47.06.911,3.357,8.902,88.049,-28.476
1718718426921,2024-06-18T16.47.06.921,3.367,16.280,66.341,-22.561
1718718426930,2024-06-18T16.47.06.930,3.376,18.415,51.159,-11.402
1718718426940,2024-06-18T16.47.06.940,3.386,15.549,52.317,-1.341
1718718426951,2024-06-18T16.47.06.951,3.397,8.415,52.561,-0.427
1718718426961,2024-06-18T16.47.06.961,3.407,3.354,45.549,0.000
1718718426970,2024-06-18T16.47.06.970,3.416,2.561,35.183,4.329
1718718426980,2024-06-18T16.47.06.980,3.426,3.659,21.524,4.268
1718718426990,2024-06-18T16.47.06.990,3.436,3.598,8.780,2.927
1718718427000,2024-06-18T16.47.07.000,3.446,0.488,1.037,4.329
1718718427009,2024-06-18T16.47.07.009,3.455,-1.707,-1.890,5.549
1718718427019,2024-06-18T16.47.07.019,3.465,-0.366,-1.524,6.829
1718718427030,2024-06-18T16.47.07.030,3.476,1.585,2.256,8.476
1718718427040,2024-06-18T16.47.07.040,3.486,2.073,7.622,8.049
1718718427049,2024-06-18T16.47.07.049,3.495,2.439,10.549,5.854
1718718427059,2024-06-18T16.47.07.059,3.505,3.476,9.329,4.390
