x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
-0.006,0.523,0.611,-75.549,-69.268,17.439
0.101,0.596,0.448,-48.415,-50.61,11.646
0.09,0.644,0.422,-19.878,-30.183,4.329
0.065,0.621,0.509,7.073,-14.573,-0.61
0.094,0.636,0.562,30.427,-1.585,-7.927
0.038,0.611,0.486,53.293,5.427,-13.659
-0.059,0.612,0.319,71.585,4.207,-16.951
-0.097,0.631,0.113,84.451,2.378,-19.451
-0.106,0.64,-0.065,92.5,2.439,-22.5
-0.086,0.624,-0.117,98.963,5.061,-27.073
-0.068,0.599,-0.079,105.976,7.866,-31.098
-0.091,0.587,-0.035,113.11,6.707,-35.122
-0.123,0.582,-0.008,120.122,0.61,-39.939
-0.137,0.569,0.008,128.049,-7.805,-45.244
-0.127,0.549,0.02,137.5,-14.329,-51.585
-0.12,0.522,-0.047,147.927,-16.707,-56.829
-0.125,0.509,-0.166,156.646,-18.354,-61.829
-0.129,0.494,-0.224,165.427,-17.988,-67.744
-0.155,0.474,-0.297,173.354,-16.341,-71.646
-0.182,0.468,-0.301,179.512,-15.854,-78.232
-0.192,0.446,-0.223,186.098,-16.768,-86.28
-0.238,0.419,-0.135,193.171,-22.134,-93.232
-0.31,0.389,-0.078,201.159,-30.366,-98.11
-0.366,0.356,-0.14,208.171,-42.195,-100.427
-0.398,0.337,-0.204,213.598,-54.451,-105.366
-0.424,0.303,-0.283,220.061,-60.305,-109.573
-0.449,0.291,-0.364,224.146,-62.805,-114.573
-0.424,0.265,-0.415,226.829,-60.915,-122.012
-0.401,0.223,-0.469,229.329,-57.5,-127.561
-0.41,0.198,-0.499,231.341,-58.354,-132.805
-0.495,0.163,-0.555,232.622,-63.354,-136.402
-0.61,0.119,-0.62,231.646,-68.537,-138.72
-0.639,0.061,-0.658,231.829,-62.378,-140.427
-0.602,0.005,-0.742,230.305,-50.244,-140.854
-0.598,-0.041,-0.742,226.89,-38.841,-145.976
-0.654,-0.111,-0.748,226.28,-27.805,-147.5
-0.726,-0.145,-0.795,223.11,-26.768,-148.354
-0.757,-0.177,-0.755,219.634,-35.732,-152.927
-0.814,-0.227,-0.747,218.232,-49.268,-152.134
-0.862,-0.243,-0.746,214.939,-67.622,-151.402
-0.893,-0.269,-0.766,210.671,-84.878,-152.256
-0.944,-0.318,-0.846,206.037,-93.659,-150.488
-1.024,-0.371,-1.026,198.11,-89.512,-145.976
-0.997,-0.438,-1.083,188.049,-76.341,-147.317
-0.882,-0.548,-1.027,182.927,-59.085,-152.622
-0.849,-0.602,-0.931,180.732,-46.098,-157.195
-0.899,-0.568,-0.815,178.232,-44.451,-158.902
-0.956,-0.523,-0.706,175.793,-55.427,-158.841
-0.95,-0.508,-0.601,172.988,-68.049,-157.622
-0.906,-0.524,-0.571,171.585,-71.22,-154.207
-0.958,-0.568,-0.677,168.232,-70.366,-145.915
-1.001,-0.628,-0.783,159.634,-76.524,-142.622
-1.021,-0.724,-0.854,153.72,-81.28,-140.61
-1.043,-0.806,-0.952,146.402,-80.732,-133.049
-1.014,-0.836,-0.963,135.976,-81.524,-129.634
-0.961,-0.849,-0.882,126.402,-83.902,-128.354
-0.916,-0.831,-0.781,120.061,-87.5,-123.476
-0.9,-0.752,-0.672,112.683,-93.171,-117.378
-0.928,-0.7,-0.562,104.817,-101.341,-111.28
-0.963,-0.704,-0.47,99.878,-109.146,-106.159
-0.942,-0.717,-0.413,97.134,-114.512,-102.927
-0.901,-0.731,-0.378,94.878,-118.415,-103.537
-0.88,-0.747,-0.344,93.476,-118.72,-105.366
-0.837,-0.763,-0.324,93.11,-117.073,-107.378
-0.806,-0.778,-0.313,93.902,-116.402,-110.122
-0.804,-0.784,-0.307,95.0,-116.098,-112.317
-0.798,-0.785,-0.287,95.732,-116.524,-113.415
-0.791,-0.802,-0.25,97.622,-120.183,-114.939
-0.825,-0.829,-0.227,99.207,-123.11,-114.817
-0.854,-0.869,-0.202,100.427,-123.354,-112.073
-0.833,-0.918,-0.171,102.317,-119.329,-110.366
-0.784,-0.967,-0.148,104.634,-108.354,-108.78
-0.75,-1.007,-0.138,106.585,-95.793,-106.524
-0.752,-1.02,-0.126,107.805,-82.561,-103.963
-0.743,-1.025,-0.112,107.927,-70.244,-100.122
-0.716,-1.027,-0.1,107.683,-59.024,-95.671
-0.683,-1.013,-0.071,107.988,-49.817,-91.22
-0.656,-0.976,-0.042,107.012,-46.159,-86.707
-0.665,-0.947,-0.008,103.841,-48.354,-82.439
-0.705,-0.934,-0.0,99.085,-52.134,-77.378
-0.729,-0.929,0.012,93.354,-57.683,-73.598
-0.733,-0.927,0.015,86.037,-61.524,-71.402
-0.722,-0.926,0.038,78.598,-57.744,-68.598
-0.661,-0.925,0.061,72.317,-50.671,-66.524
-0.631,-0.918,0.087,66.098,-41.524,-64.939
-0.648,-0.917,0.102,59.207,-30.61,-61.098
-0.653,-0.915,0.115,53.11,-20.366,-55.976
-0.619,-0.927,0.125,47.988,-13.232,-51.28
-0.593,-0.931,0.126,43.476,-8.232,-46.22
-0.572,-0.92,0.148,39.268,-7.073,-41.341
-0.552,-0.903,0.171,35.244,-7.561,-36.646
-0.548,-0.898,0.172,31.585,-9.817,-31.28
-0.572,-0.906,0.157,28.415,-11.22,-26.524
-0.579,-0.906,0.132,25.671,-9.634,-21.89
-0.562,-0.891,0.109,22.683,-7.134,-18.598
-0.527,-0.879,0.099,19.268,-4.207,-16.951
-0.48,-0.881,0.104,16.159,-0.976,-15.915
-0.456,-0.885,0.118,14.451,1.037,-14.207
-0.468,-0.882,0.139,12.5,-0.366,-11.402
-0.499,-0.878,0.152,9.878,-4.634,-7.805
-0.516,-0.869,0.158,7.195,-9.329,-3.902
-0.491,-0.859,0.161,4.39,-12.805,-0.671
-0.43,-0.862,0.178,1.524,-13.171,0.915
-0.37,-0.885,0.21,0.549,-8.78,1.585
-0.349,-0.9,0.221,1.646,-1.89,2.317
-0.366,-0.895,0.215,2.073,2.744,2.134
-0.39,-0.881,0.199,1.22,5.488,1.402
-0.395,-0.88,0.194,0.61,5.122,0.427
-0.383,-0.875,0.195,0.0,3.963,-0.488
-0.373,-0.872,0.2,-0.732,2.561,-0.854
-0.381,-0.872,0.206,-1.159,0.976,-0.854
-0.391,-0.883,0.221,-1.159,0.122,-0.793
-0.383,-0.892,0.238,-0.976,-0.122,-0.549
-0.365,-0.897,0.24,-0.732,1.037,-0.549
-0.357,-0.898,0.236,-0.549,3.354,-0.549
-0.359,-0.898,0.222,-0.244,5.061,-0.366
-0.367,-0.883,0.207,-0.427,5.427,0.366
-0.368,-0.872,0.213,-1.463,4.573,1.098
-0.355,-0.879,0.225,-1.951,3.415,1.402
-0.341,-0.894,0.25,-1.159,1.22,0.732
-0.34,-0.892,0.27,-0.549,0.305,-0.427
-0.362,-0.89,0.271,0.122,-0.61,-0.671
-0.376,-0.893,0.258,-0.427,-1.707,-1.829
-0.375,-0.898,0.24,-1.22,-1.28,-3.415
-0.372,-0.901,0.235,-1.524,0.183,-3.963
-0.356,-0.904,0.248,-1.89,1.646,-4.451
-0.326,-0.911,0.261,-1.89,2.378,-4.634
-0.331,-0.913,0.275,-1.28,1.524,-4.39
-0.354,-0.908,0.276,-0.671,0.671,-3.415
-0.374,-0.897,0.264,-0.915,1.646,-2.5
-0.358,-0.897,0.258,-1.524,3.659,-2.988
-0.337,-0.903,0.258,-1.585,6.22,-3.659
-0.333,-0.906,0.26,-0.915,7.805,-3.72
-0.333,-0.903,0.26,-0.549,7.866,-3.659
-0.348,-0.901,0.261,0.122,6.463,-3.293
-0.37,-0.894,0.261,0.915,5.122,-2.927
-0.378,-0.89,0.26,1.402,3.841,-2.927
-0.375,-0.894,0.248,1.402,3.841,-3.293
-0.361,-0.906,0.23,1.646,5.854,-3.476
-0.355,-0.911,0.213,1.829,8.415,-3.476
-0.356,-0.911,0.205,1.524,10.915,-3.171
-0.351,-0.911,0.211,1.28,11.951,-2.805
-0.344,-0.908,0.232,1.159,11.768,-2.927
-0.364,-0.905,0.239,1.037,11.037,-2.561
-0.388,-0.901,0.238,0.244,10.244,-2.683
-0.387,-0.898,0.238,-0.366,11.585,-3.354
-0.352,-0.903,0.249,-0.915,14.573,-4.024
-0.324,-0.91,0.245,-1.341,18.171,-4.512
-0.318,-0.921,0.243,-1.341,20.244,-5.244
-0.339,-0.934,0.239,-0.61,20.244,-5.976
-0.367,-0.927,0.248,0.305,18.902,-7.012
-0.345,-0.91,0.28,0.854,17.805,-8.598
-0.334,-0.901,0.295,1.646,22.073,-9.634
-0.314,-0.905,0.317,3.78,34.268,-10.549
-0.229,-0.91,0.332,6.585,54.756,-11.037
-0.172,-0.913,0.312,9.878,80.061,-9.268
-0.202,-0.917,0.268,13.293,103.537,-6.037
-0.268,-0.908,0.219,14.634,121.89,-1.159
-0.35,-0.886,0.164,13.963,139.451,6.402
-0.437,-0.863,0.088,11.585,157.744,15.366
-0.558,-0.84,0.018,6.585,175.793,24.329
-0.643,-0.842,-0.041,0.549,192.256,33.537
-0.685,-0.841,-0.101,-7.927,209.085,43.902
-0.711,-0.849,-0.132,-18.232,230.488,55.122
-0.73,-0.86,-0.161,-28.415,257.439,66.402
-0.766,-0.862,-0.221,-38.598,284.573,77.561
-0.881,-0.848,-0.312,-50.244,305.0,87.256
-1.014,-0.823,-0.386,-64.817,316.463,96.646
-1.101,-0.831,-0.446,-80.305,319.939,104.146
-1.176,-0.882,-0.513,-97.256,318.78,108.293
-1.191,-0.942,-0.562,-114.39,314.268,110.427
-1.2,-0.985,-0.606,-129.207,304.39,112.439
-1.278,-0.996,-0.665,-144.756,286.463,116.22
-1.354,-0.987,-0.735,-162.622,261.951,120.915
-1.364,-1.003,-0.81,-178.72,236.098,125.305
-1.357,-1.056,-0.862,-192.134,212.195,130.061
-1.347,-1.098,-0.916,-204.634,189.512,136.159
-1.312,-1.107,-0.954,-217.134,167.683,143.293
-1.295,-1.103,-0.956,-228.902,150.549,150.61
-1.277,-1.117,-0.919,-238.537,138.841,157.439
-1.238,-1.124,-0.885,-245.427,131.28,163.72
-1.166,-1.074,-0.869,-252.256,124.146,166.707
-1.126,-1.022,-0.868,-256.341,116.037,168.598
-1.12,-0.972,-0.894,-259.756,108.293,171.524
-1.051,-0.917,-0.912,-263.78,104.878,171.463
-0.919,-0.884,-0.945,-266.89,108.72,169.207
-0.84,-0.845,-1.026,-270.366,112.622,167.012
-0.839,-0.806,-1.082,-275.244,110.183,162.683
-0.838,-0.787,-1.074,-279.329,105.976,158.11
-0.842,-0.769,-1.085,-282.866,100.488,155.183
-0.81,-0.737,-1.037,-287.134,89.207,148.659
-0.749,-0.705,-0.946,-289.024,76.768,144.512
-0.681,-0.638,-0.874,-289.939,67.927,144.085
-0.627,-0.58,-0.822,-291.159,58.841,141.159
-0.604,-0.541,-0.763,-290.671,49.39,137.5
-0.582,-0.494,-0.744,-288.902,44.024,136.89
-0.52,-0.453,-0.797,-287.073,42.134,134.451
-0.47,-0.431,-0.833,-284.817,38.902,129.695
-0.438,-0.404,-0.841,-281.585,38.841,126.524
-0.394,-0.361,-0.855,-278.78,42.134,122.988
-0.341,-0.324,-0.79,-274.756,47.683,116.098
-0.3,-0.286,-0.709,-269.756,55.427,109.817
-0.265,-0.231,-0.652,-265.793,61.829,102.561
-0.253,-0.175,-0.585,-261.22,62.744,93.293
-0.234,-0.129,-0.523,-255.366,61.402,86.524
-0.179,-0.07,-0.585,-250.305,58.902,82.256
-0.191,-0.004,-0.643,-246.89,54.939,76.707
-0.255,0.011,-0.676,-242.744,55.122,72.378
-0.266,0.017,-0.71,-239.451,61.341,66.89
-0.225,0.033,-0.672,-235.915,72.5,58.537
-0.204,0.056,-0.621,-231.829,84.085,50.488
-0.206,0.118,-0.588,-229.451,91.341,42.683
-0.169,0.182,-0.509,-228.293,90.244,34.939
-0.162,0.231,-0.42,-225.549,75.671,30.244
-0.232,0.305,-0.22,-222.805,50.549,26.646
-0.265,0.351,0.028,-217.5,23.659,25.549
-0.2,0.394,0.283,-208.232,-0.183,25.061
-0.101,0.463,0.515,-193.049,-16.463,24.146
-0.034,0.51,0.628,-170.061,-27.439,23.963
-0.103,0.583,0.693,-143.659,-37.988,23.11
-0.169,0.64,0.747,-114.024,-45.183,23.476
-0.132,0.662,0.749,-83.293,-40.061,20.61
-0.057,0.654,0.701,-51.707,-21.585,15.732
0.035,0.634,0.624,-19.207,1.768,11.646
0.057,0.684,0.471,8.963,19.878,6.89
