x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
-0.697,-1.035,0.299,25.244,13.537,-71.829
-0.687,-1.039,0.259,25.61,20.061,-62.866
-0.67,-1.003,0.246,23.598,25.183,-56.098
-0.647,-0.948,0.249,19.451,22.927,-50.671
-0.683,-0.894,0.254,14.329,12.561,-46.28
-0.67,-0.867,0.284,9.146,-0.976,-42.317
-0.696,-0.852,0.294,6.098,-11.585,-39.207
-0.723,-0.862,0.296,4.878,-12.927,-33.415
-0.667,-0.877,0.303,5.427,-4.634,-24.878
-0.612,-0.876,0.303,7.439,5.366,-17.378
-0.608,-0.858,0.295,8.841,11.707,-11.585
-0.584,-0.831,0.298,7.988,13.354,-8.476
-0.569,-0.799,0.309,6.159,9.939,-9.024
-0.582,-0.776,0.325,3.841,2.683,-9.512
-0.575,-0.773,0.333,1.646,-4.939,-8.902
-0.576,-0.775,0.331,0.0,-10.793,-7.927
-0.581,-0.769,0.328,-1.463,-13.354,-6.037
-0.577,-0.755,0.332,-2.561,-13.293,-4.207
-0.56,-0.739,0.346,-2.561,-12.927,-3.415
-0.563,-0.737,0.363,-2.256,-12.744,-2.988
-0.566,-0.73,0.376,-1.707,-10.976,-2.622
-0.562,-0.727,0.385,-0.366,-8.171,-2.317
-0.561,-0.729,0.388,0.976,-5.854,-1.829
-0.586,-0.726,0.386,1.89,-4.024,-0.244
-0.595,-0.725,0.388,2.378,-2.988,1.22
-0.613,-0.718,0.38,2.805,-2.561,1.768
-0.601,-0.712,0.374,2.622,-2.5,1.22
-0.591,-0.699,0.366,2.195,-2.927,-0.671
-0.595,-0.7,0.354,1.89,-2.5,-2.134
-0.585,-0.707,0.348,1.585,-1.585,-3.476
-0.583,-0.708,0.347,1.524,-1.524,-4.085
-0.606,-0.71,0.341,1.768,-2.256,-4.207
-0.635,-0.71,0.334,1.829,-2.5,-3.902
-0.635,-0.706,0.334,1.341,-2.744,-3.171
-0.638,-0.694,0.343,0.976,-4.146,-2.988
-0.646,-0.688,0.352,0.793,-6.159,-2.805
-0.64,-0.686,0.353,0.61,-7.927,-3.476
-0.647,-0.681,0.352,0.61,-8.415,-4.146
-0.627,-0.675,0.349,0.671,-6.951,-4.39
-0.611,-0.67,0.357,1.098,-4.878,-4.817
-0.63,-0.669,0.364,1.89,-2.195,-4.573
-0.63,-0.675,0.367,2.622,0.427,-3.598
-0.627,-0.675,0.359,3.049,1.829,-3.11
-0.644,-0.667,0.357,3.11,1.341,-3.171
-0.66,-0.664,0.364,2.988,-0.122,-3.354
-0.666,-0.659,0.368,2.5,-1.585,-3.78
-0.662,-0.658,0.366,2.134,-2.439,-4.085
-0.664,-0.656,0.374,2.012,-2.561,-3.963
-0.66,-0.658,0.372,2.317,-2.073,-3.476
-0.666,-0.658,0.365,2.866,-0.732,-2.5
-0.677,-0.658,0.367,3.049,0.488,-1.28
-0.682,-0.655,0.372,3.415,1.22,0.366
-0.694,-0.658,0.371,3.598,0.976,1.89
-0.705,-0.664,0.368,3.598,0.976,2.805
-0.687,-0.665,0.366,3.415,0.793,3.049
-0.682,-0.667,0.37,3.354,0.061,2.866
